buy it at 07-07:50 | money: 10694.17
    buy price: 5115.000000  |  current-amount: 1.000000, current-account: 5554.170000
sell it at 07-07:50 | money: 10674.17
    sell price: 5120.000000  |  current-amount: 0.000000, current-account: 10674.170000
buy it at 07-08:00 | money: 10693.07
    buy price: 5131.000000  |  current-amount: 1.000000, current-account: 5543.170000
sell it at 07-08:01 | money: 10671.17
    sell price: 5128.000000  |  current-amount: 0.000000, current-account: 10671.170000
buy it at 07-08:01 | money: 10674.17
    buy price: 5125.000000  |  current-amount: 1.000000, current-account: 5546.170000
sell it at 07-08:25 | money: 10835.17
    sell price: 5289.000000  |  current-amount: 0.000000, current-account: 10835.170000
buy it at 07-09:07 | money: 10847.17
    buy price: 5156.000000  |  current-amount: 1.000000, current-account: 5679.170000
sell it at 07-09:07 | money: 10829.17
    sell price: 5150.000000  |  current-amount: 0.000000, current-account: 10829.170000
buy it at 07-09:07 | money: 10849.13
    buy price: 5130.030000  |  current-amount: 1.000000, current-account: 5699.140000
sell it at 07-09:08 | money: 10829.14
    sell price: 5130.000000  |  current-amount: 0.000000, current-account: 10829.140000
buy it at 07-09:08 | money: 10858.12
    buy price: 5100.010000  |  current-amount: 1.000000, current-account: 5729.130000
sell it at 07-09:08 | money: 10859.09
    sell price: 5129.960000  |  current-amount: 0.000000, current-account: 10859.090000
buy it at 07-09:08 | money: 10864.09
    buy price: 5105.000000  |  current-amount: 1.000000, current-account: 5754.090000
sell it at 07-09:09 | money: 10853.09
    sell price: 5099.000000  |  current-amount: 0.000000, current-account: 10853.090000
buy it at 07-09:09 | money: 10859.25
    buy price: 5093.810000  |  current-amount: 1.000000, current-account: 5759.280000
sell it at 07-09:10 | money: 10838.28
    sell price: 5079.000000  |  current-amount: 0.000000, current-account: 10838.280000
buy it at 07-09:19 | money: 10857.27
    buy price: 5031.010000  |  current-amount: 1.000000, current-account: 5807.270000
